lang;descr;label;stage;time
C++;default, gcc;C++ (default, gcc);IO;0.0651964
C++;default, gcc;C++ (default, gcc);Split;2.1827
C++;default, gcc;C++ (default, gcc);Count;1.0966
C++;default, clang;C++ (default, clang);IO;0.0631074
C++;default, clang;C++ (default, clang);Split;2.14225
C++;default, clang;C++ (default, clang);Count;1.22627
Nim;default;Nim (default);IO;0.027202129364
Nim;default;Nim (default);Split;0.856487035751
Nim;default;Nim (default);Count;1.24294400215
Python;default;Python (default);IO;0.0181741714478
Python;default;Python (default);Split;1.18239998817
Python;default;Python (default);Count;2.50383782387
Scala;default;Scala (default);IO;0.255796642
Scala;default;Scala (default);Split;3.544706308
Scala;default;Scala (default);Count;2.256854446
