lang;descr;label;size;run_id;time
C++;default, gcc;C++ (default, gcc);S;1;0.0218858
C++;default, gcc;C++ (default, gcc);S;2;0.023642
C++;default, gcc;C++ (default, gcc);S;3;0.0220606
C++;default, gcc;C++ (default, gcc);S;4;0.021951
C++;default, gcc;C++ (default, gcc);S;5;0.0247866
C++;default, gcc;C++ (default, gcc);M;1;0.217122
C++;default, gcc;C++ (default, gcc);M;2;0.216257
C++;default, gcc;C++ (default, gcc);M;3;0.21581
C++;default, gcc;C++ (default, gcc);M;4;0.215582
C++;default, gcc;C++ (default, gcc);M;5;0.217041
C++;default, gcc;C++ (default, gcc);L;1;2.16411
C++;default, gcc;C++ (default, gcc);L;2;2.1827
C++;default, gcc;C++ (default, gcc);L;3;2.17662
C++;default, gcc;C++ (default, gcc);L;4;2.21905
C++;default, gcc;C++ (default, gcc);L;5;2.18645
C++;default, clang;C++ (default, clang);S;1;0.0216794
C++;default, clang;C++ (default, clang);S;2;0.02326
C++;default, clang;C++ (default, clang);S;3;0.0248739
C++;default, clang;C++ (default, clang);S;4;0.0243116
C++;default, clang;C++ (default, clang);S;5;0.0216464
C++;default, clang;C++ (default, clang);M;1;0.213292
C++;default, clang;C++ (default, clang);M;2;0.21321
C++;default, clang;C++ (default, clang);M;3;0.213107
C++;default, clang;C++ (default, clang);M;4;0.21482
C++;default, clang;C++ (default, clang);M;5;0.213209
C++;default, clang;C++ (default, clang);L;1;2.14318
C++;default, clang;C++ (default, clang);L;2;2.14215
C++;default, clang;C++ (default, clang);L;3;2.14225
C++;default, clang;C++ (default, clang);L;4;2.13933
C++;default, clang;C++ (default, clang);L;5;2.1599
Nim;default, gcc;Nim (default, gcc);S;1;0.00852489471436
Nim;default, gcc;Nim (default, gcc);S;2;0.00761389732361
Nim;default, gcc;Nim (default, gcc);S;3;0.0111320018768
Nim;default, gcc;Nim (default, gcc);M;1;0.0894351005554
Nim;default, gcc;Nim (default, gcc);M;2;0.0875828266144
Nim;default, gcc;Nim (default, gcc);M;3;0.0887529850006
Nim;default, gcc;Nim (default, gcc);L;1;0.839684963226
Nim;default, gcc;Nim (default, gcc);L;2;0.843291044235
Nim;default, gcc;Nim (default, gcc);L;3;0.849662065506
Nim;default, clang;Nim (default, clang);S;1;0.0109441280365
Nim;default, clang;Nim (default, clang);S;2;0.00896692276001
Nim;default, clang;Nim (default, clang);S;3;0.00718212127686
Nim;default, clang;Nim (default, clang);M;1;0.084254026413
Nim;default, clang;Nim (default, clang);M;2;0.0867650508881
Nim;default, clang;Nim (default, clang);M;3;0.0852160453796
Nim;default, clang;Nim (default, clang);L;1;0.801571846008
Nim;default, clang;Nim (default, clang);L;2;0.801501989365
Nim;default, clang;Nim (default, clang);L;3;0.832273006439
Python;default;Python (default);S;1;0.0156111717224
Python;default;Python (default);S;2;0.0133299827576
Python;default;Python (default);S;3;0.0134198665619
Python;default;Python (default);S;4;0.0123419761658
Python;default;Python (default);S;5;0.0121469497681
Python;default;Python (default);M;1;0.118482112885
Python;default;Python (default);M;2;0.119771957397
Python;default;Python (default);M;3;0.119983911514
Python;default;Python (default);M;4;0.120100975037
Python;default;Python (default);M;5;0.118771076202
Python;default;Python (default);L;1;1.17965483665
Python;default;Python (default);L;2;1.18082404137
Python;default;Python (default);L;3;1.18239998817
Python;default;Python (default);L;4;1.19552397728
Python;default;Python (default);L;5;1.18362402916
Scala;default;Scala (default);S;1;0.065252323
Scala;default;Scala (default);S;2;0.065101267
Scala;default;Scala (default);S;3;0.065762974
Scala;default;Scala (default);S;4;0.066375073
Scala;default;Scala (default);S;5;0.065725572
Scala;default;Scala (default);M;1;0.28414544
Scala;default;Scala (default);M;2;0.283280765
Scala;default;Scala (default);M;3;0.284218934
Scala;default;Scala (default);M;4;0.280076461
Scala;default;Scala (default);M;5;0.282447611
Scala;default;Scala (default);L;1;3.544706308
Scala;default;Scala (default);L;2;4.109730553
Scala;default;Scala (default);L;3;3.520625295
Scala;default;Scala (default);L;4;3.508616272
Scala;default;Scala (default);L;5;3.733113297
